"","x"
"368","Diploma in Arts/ Bachelor of Arts (Pathway to Teaching Primary) at Western Sydney, The College"
"369","Associate Degree of Health at Southern Cross University, Distance Education"
"370","Associate Degree of Public Health (Specialisation) at CQUniversity, Distance Education"
"371","Associate Degree of Occupational Health and Safety at CQUniversity, Distance Education"
"372","Associate Degree of Engineering at CQUniversity, Distance Education"
"373","Associate Degree of Aviation at CQUniversity, Distance Education"
"374","Associate Degree of Building Surveying at CQUniversity, Distance Education"
"375","Associate Degree of Building Design at CQUniversity, Distance Education"
"376","Associate Degree of Information Technology at CQUniversity, Distance Education"
"377","B Engineering Technology (Specialisation)(Graduate Entry) at CQUniversity, Distance Education"
"378","Bachelor of Teaching (Technology)(Honours) at University of Newcastle, Callaghan campus"
"379","Bachelor of Teaching (Science)(Honours) at University of Newcastle, Callaghan"
"380","Bachelor of Teaching (Primary)(Honours)at University of Newcastle, Port Macquarie campus"
"381","Bachelor of Teaching (Primary)(Honours) at University of Newcastle, Ourimbah campus"
"382","Bachelor of Teaching (Primary)(Honours)at University of Newcastle, Callaghan campus"
"383","Bachelor of Teaching (Mathematics)(Honours) at University of Newcastle, Callaghan campus"
"384","Bachelor of Teaching (Humanities) (Honours) at University of Newcastle, Ourimbah campus"
"385","Bachelor of Teaching (Humanities) (Honours) at University of Newcastle, Callaghan campus"
"386","Bachelor of Teaching(Health & Physical Edu)(Honours) at University of Newcastle"
"387","Bachelor of Teaching (Early Childhood & Primary) (Honours) at University of Newcastle, Ourimbah"
"388","Bachelor of Teaching (Early Childhood & Primary) (Honours) at University of Newcastle, Callaghan"
"389","Bachelor of Construction Management (Honours) at CQUniversity, Distance Education"
"390","Bachelor of Social Work (Honours) at CQUniversity, Distance Education"
"391","Bachelor of Engineering (Honours - Graduate Entry) at CQUniversity, Distance Education"
"392","Bachelor of Engineering (Honours) at CQUniversity, Distance Education"
"393","Bachelor of Building Surveying and Certification (Honours) at CQUniversity, Distance Education"
"394","B Engineering (Ocean Engineering Co-operative Education) (Hons)at Australian Maritime College"
"395","B Engineering (Naval Architecture Co-operative Education) (Hons)at Australian Maritime College"
"396","Bachelor of Education - The Early Years (Flexible)(Shoalhaven) at University of Wollongong"
"397","Bachelor of Education (Flexible) - The Early Years (Bega) at University of Wollongong"
"398","Bachelor of Education - The Early Years (Flexible) (Batemans Bay) at University of Wollongong"
"399","Bachelor of Business (Pathway to Teaching secondary) at Western Sydney University"
"400","Bachelor of Business (Pathway to Teaching Secondary) at Western Sydney University"
"401","B Science/M Teaching - Pathway to Teaching (Primary/Secondary) at Western Sydney University"
"402","Bachelor of Graphic Design (Pathway to Teaching Secondary) at Western Sydney University"
"403","Bachelor of Fine Art at National Art School(DFEE)"
"404","Bachelor of Education Bachelor of Arts in International Studies at University of Technology Sydney"
"405","Bachelor of Arts Bachelor of Education at University of Technology Sydney"
"406","Bachelor of Education (Secondary: Health and Physical Education) at University of Sydney"
"407","Bachelor of Education (Primary) at University of New England"
"408","Bachelor of Public Health (Specialisation) at CQUniversity, Distance Education"
"409","Bachelor of Psychological Science at CQUniversity, Distance Education"
"410","Bachelor of Digital Media at CQUniversity, Distance Education"
"411","Bachelor of Nursing at CQUniversity, Distance Education"
"412","Bachelor of Medical Science (Specialisation) at CQUniversity, Distance Education"
"413","Bachelor of Health Science (Allied Health) at CQUniversity, Distance Education"
"414","Bachelor of Occupational Health and Safety at CQUniversity, Distance Education"
"415","Bachelor of Exercise and Sport Sciences at CQUniversity, Distance Education"
"416","Bachelor of Accident Forensics at CQUniversity, Distance Education"
"417","Bachelor of Environmental Science at CQUniversity, Distance Education"
"418","Bachelor of Science at CQUniversity, Distance Education"
"419","Bachelor of Business/Bachelor of Professional Communication at CQUniversity, Distance Education"
"420","Bachelor of Professional Communication at CQUniversity, Distance Education"
"421","Bachelor of Arts/Bachelor of Business at CQUniversity, Distance Education"
"422","Bachelor of Accounting/Bachelor of Business at CQUniversity, Distance Education"
"423","Bachelor of Engineering Technology (Specialisation) at CQUniversity, Distance Education"
"424","Bachelor of Aviation Technology at CQUniversity, Distance Education"
"425","Bachelor of Building Design at CQUniversity, Distance Education"
"426","Bachelor of Science (Psychology) at CQUniversity, Distance Education"
"427","Bachelor of Information Technology (Co-op) at CQUniversity, Distance Education"
"428","Bachelor of Arts at CQUniversity, Distance Education"
"429","Bachelor of Laws/Bachelor of Arts at CQUniversity, Distance Education"
"430","Bachelor of Laws/Bachelor of Accounting at CQUniversity, Distance Education"
"431","Bachelor of Property at CQUniversity, Distance Education"
"432","Bachelor of Laws at CQUniversity, Distance Education"
"433","Bachelor of Information Technology at CQUniversity, Distance Education"
"434","Bachelor of Hospitality Management at CQUniversity, Distance Education"
"435","Bachelor of Business at CQUniversity, Distance Education"
"436","Bachelor of Accounting at CQUniversity, Distance Education"
"437","Bachelor of Teaching/Bachelor of Science at ACU, North Sydney campus"
"438","Preparing for Success at SCU Program - Southern Cross University, Distance Education"
"439","Dip Arts/B Arts (Pathway to Teaching Birth-5/Birth-12) - at Western Sydney, The College"
"440","Dip Arts/B Arts (Pathway to Teaching Secondary) - at Western Sydney, The College"
"441","Dip Arts/B Arts (Pathway to Teaching Primary) - at Western Sydney, The College"
"442","Diploma in Health Science (Health and Physical Education) at Western Sydney, The College"
"443","Diploma in Interior Design and Decoration at CATC Design School  (VET)"
"444","Diploma in Graphic Design at CATC Design School  (VET)"
"445","Diploma in Photo Imaging at CATC Design School  (VET)"
"446","Diploma of Aviation Theory at CQUniversity, Distance Education"
"447","Diploma of Arts at CQUniversity, Distance Education"
"448","Diploma of Business Studies at CQUniversity, Distance Education"
"449","Diploma of Information and Communications Technology at CQUniversity, Distance Education"
"450","Bachelor of Educational Studies at Southern Cross University, Gold Coast"
"451","Bachelor of Educational Studies at Southern Cross University, Coffs Harbour"
"452","Bachelor of Educational Studies at Southern Cross University, Lismore"
"453","Associate Degree in Engineering at CQUniversity, Distance Education"
"454","Associate Degree in Aviation at CQUniversity, Distance Education"
"455","Associate Degree in Building Surveying at CQUniversity, Distance Education"
"456","Associate Degree in Building Design at CQUniversity, Distance Education"
"457","Associate Degree in Information Technology at CQUniversity, Distance Education"
"458","Bachelor of Teaching (Fine Art) (Honours) at University of Newcastle, Callaghan"
"459","Bachelor of Engineering (Ocean Engineering Co-operative Education) (Hons)at Australian Maritime Coll"
"460","Bachelor of Engineering (Naval Architecture Co-operative Education) (Hons)at Australian Maritime Col"
"461","Bachelor of Education - The Early Years (Dean's Scholar)(Shoalhaven) at University of Wollongong"
"462","Bachelor of Education - The Early Years (Dean's Scholar) (Bega) at University of Wollongong"
"463","Bachelor of Education - The Early Years (Dean's Scholar) (Batemans Bay) at University of Wollongong"
"464","Bachelor of Science Education (Dean's Scholar)at University of Wollongong"
"465","Bachelor of Mathematics Education (Dean's Scholar)at University of Wollongong"
"466","Bachelor of Education - The Early Years (Shoalhaven) at University of Wollongong"
"467","Bachelor of Education - The Early Years (Bega) at University of Wollongong"
"468","Bachelor of Education - The Early Years (Batemans Bay) at University of Wollongong"
"469","B Science (Pathway to Teaching Secondary)/M Teaching (Secondary) at Western Sydney University"
"470","B Arts (P Teach B-5Years - B-12 Years)/M Teaching (B-5 Yrs/B-12 Yrs) at Western Sydney University"
"471","Bachelor of Arts (Pwy to Teach Secondary)/Master of Teach (Secondary) at Western Sydney University"
"472","Bachelor of Arts (Pathway to Teach Primary)/Master of Teach (Primary) at Western Sydney University"
"473","Bachelor of Arts in Educational Studies at University of Technology Sydney"
"474","Bachelor of Education (Secondary: Human Movement and Health Education) at University of Sydney"
"475","Bachelor of Education at University of Canberra"
"476","Bachelor of Secondary Education/Bachelor of Mathematics & Computing Technology Studies at University"
"477","Bachelor of Arts/Bachelor of Education (Primary/Early Childhood)at Southern Cross Uni.Gold Coast"
"478","Bachelor of Secondary Education at Griffith University"
"479","Bachelor of Primary Education at Griffith University"
"480","Bachelor of Education at La Trobe University"
"481","Bachelor of Teaching /Bachelor of Arts (Secondary - Humanities) at ACU, Canberra campus"
"482","Bachelor of Teaching/Bachelor of Arts (Secondary - Mathematics) at ACU, Strathfield Campus"
"483","Skills for Tertiary Education Preparatory Studies (STEPS)at CQUniversity, Distance Education"
"484","Skills for Tertiary Education Preparatory Studies (STEPS) at CQUniversity, Sydney Campus"
"485","Diploma in Interior Design and Decoration at CATC Design School  (DFEE)"
"486","Diploma in Graphic Design at CATC Design School  (DFEE)"
"487","Diploma in Photo Imaging at CATC Design School  (DFEE)"
"488","Diploma of Counselling at JNI Design School  (DFEE)"
"489","Diploma in Aviation Theory at CQUniversity, Distance Education"
"490","Diploma in Business Studies at CQUniversity, Distance Education"
"491","Diploma in Information and Communications Technology at CQUniversity, Distance Education"
"492","Diploma of Education Studies at Australian Catholic University"
