,,Year
Gender,School leaders,2032,2033,2034,2035,2036
Men,Middle leaders,795,1747,1418,1273,1759
Men,School leaders,1303,2586,2089,1867,2589
Men,Senior leaders,508,840,671,593,830
Women,Middle leaders,1716,4337,3678,3636,4052
Women,School leaders,2735,6268,5104,5317,6057
Women,Senior leaders,1019,1930,1426,1681,2005

Data source: ATWD 2024; Teacher Survey (2018-2022)
Figure: Workforce characteristics; by workforce group (Dropdown selections: Gender and School leaders)
